date,hour,shortestDistance,longestDistance
2018-05-05,17,0.78,0.78
2018-05-06,7,1.23,1.23
2018-05-06,8,6.71,6.71
2018-05-06,10,2.33,4.24
2018-05-06,11,0.2,15.24
2018-05-06,12,0.1,26.86
2018-05-06,13,0.03,21.8
2018-05-06,14,0.1,41.04
2018-05-06,15,0.02,51.1
2018-05-06,16,0.04,23.3
2018-05-06,17,0.04,50.3
2018-05-06,18,0.2,33.3
2018-05-06,19,0.1,27.07
2018-05-06,20,0.02,22.8
2018-05-06,21,0.4,19.97
2018-05-22,22,0.74,14.14
2018-05-22,23,0.1,21.4
2018-05-23,0,0.02,27.6
2018-05-23,1,0.22,22.24
2018-05-23,2,0.3,18.9
2018-05-23,3,0.05,18.3
2018-05-23,4,0.29,21.6
2018-05-23,5,0.4,21.92
2018-05-23,6,0.01,19.46
2018-05-23,7,0.02,36.03
2018-05-23,8,0.01,33.9
2018-05-23,9,0.01,28.6
2018-05-23,10,0.08,25.2
2018-05-23,11,0.01,25.6
2018-05-23,12,0.02,22.2
2018-05-23,13,0.1,23.23
2018-05-27,17,0.82,0.82
